episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
6,3,16,7,1,6,6.5,1,3.8,2,10,7,10,5,1,0,0,0,0,31,0,6,7.0,0,8.9,4,6,5,7,2,10,0,0,0,0,46,1,6,6.5,1,1.8,5,7,2,9,8,6,0,0,0,0,100,1,6,6.0,1,8.8,3,2,6,7,5,8,0,0,0,0,97,1,6,7.5,0,0.9,1,8,4,10,9,4,0,0,0,0
6,4,8,7,1,5,5.5,1,1.8,10,7,10,5,1,0,0,0,0,0,27,0,5,6.5,0,3.9,6,5,7,2,10,0,0,0,0,0,46,1,5,5.5,1,4.8,7,2,9,8,6,0,0,0,0,0,97,0,5,5.5,0,2.9,2,6,7,5,8,0,0,0,0,0,97,1,5,6.5,1,0.8,8,4,10,9,4,0,0,0,0,0
6,5,0,0,1,4,5.0,0,-0.2,7,10,5,1,0,0,0,0,0,0,21,0,4,6.0,0,5.9,5,7,2,10,0,0,0,0,0,0,46,1,4,4.5,1,6.8,2,9,8,6,0,0,0,0,0,0,97,0,4,4.5,1,-0.2,6,7,5,8,0,0,0,0,0,0,89,1,4,6.0,0,7.9,4,10,9,4,0,0,0,0,0,0
6,6,0,0,1,3,4.5,0,-0.2,10,5,1,0,0,0,0,0,0,0,21,0,3,5.0,1,-0.2,7,2,10,0,0,0,0,0,0,0,44,1,3,4.0,0,1.9,9,8,6,0,0,0,0,0,0,0,97,0,3,3.5,1,-0.2,7,5,8,0,0,0,0,0,0,0,85,1,3,5.5,0,3.9,10,9,4,0,0,0,0,0,0,0
6,7,0,0,1,2,3.5,1,0.0,5,1,0,0,0,0,0,0,0,0,14,0,2,4.5,0,6.9,2,10,0,0,0,0,0,0,0,0,35,1,2,3.5,0,8.9,8,6,0,0,0,0,0,0,0,0,97,0,2,2.5,1,-0.2,5,8,0,0,0,0,0,0,0,0,75,1,2,5.0,0,9.9,9,4,0,0,0,0,0,0,0,0
6,8,0,0,1,1,2.5,1,0.0,1,0,0,0,0,0,0,0,0,0,14,0,1,3.5,1,-0.2,10,0,0,0,0,0,0,0,0,0,35,0,1,2.5,1,0.0,6,0,0,0,0,0,0,0,0,0,97,0,1,1.5,1,-0.2,8,0,0,0,0,0,0,0,0,0,75,0,1,4.0,1,0.0,4,0,0,0,0,0,0,0,0,0
6,9,0,0,1,0,2.0,0,-0.2,0,0,0,0,0,0,0,0,0,0,4,0,0,3.0,0,9.9,0,0,0,0,0,0,0,0,0,0,35,1,0,1.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,97,1,0,0.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,75,1,0,3.0,1,-0.2,0,0,0,0,0,0,0,0,0,0
7,0,84,10,1,9,9.0,1,3.8,3,10,7,8,8,2,1,9,6,0,50,0,9,9.0,1,-0.2,9,1,7,4,3,7,1,9,7,0,43,0,9,9.5,0,6.9,9,8,7,7,8,10,9,1,1,0,99,0,9,9.5,0,0.9,8,10,3,5,1,5,1,5,2,0,100,1,9,9.0,1,4.8,1,10,3,6,6,1,8,2,3,0
7,1,64,10,1,8,8.0,1,2.8,10,7,8,8,2,1,9,6,0,0,41,0,8,8.5,0,8.9,1,7,4,3,7,1,9,7,0,0,43,0,8,8.5,1,-0.2,8,7,7,8,10,9,1,1,0,0,99,1,8,8.5,1,-0.2,10,3,5,1,5,1,5,2,0,0,99,1,8,8.5,0,0.9,10,3,6,6,1,8,2,3,0,0
7,2,46,10,1,7,7.0,1,9.8,7,8,8,2,1,9,6,0,0,0,40,0,7,8.0,0,0.9,7,4,3,7,1,9,7,0,0,0,43,1,7,7.5,1,-0.2,7,7,8,10,9,1,1,0,0,0,89,1,7,8.0,0,9.9,3,5,1,5,1,5,2,0,0,0,89,1,7,8.0,0,9.9,3,6,6,1,8,2,3,0,0,0
7,3,46,3,1,6,6.5,0,6.9,8,8,2,1,9,6,0,0,0,0,33,0,6,7.5,0,6.9,4,3,7,1,9,7,0,0,0,0,36,0,6,7.0,0,6.9,7,8,10,9,1,1,0,0,0,0,86,1,6,7.5,0,2.9,5,1,5,1,5,2,0,0,0,0,86,1,6,7.5,0,2.9,6,6,1,8,2,3,0,0,0,0
7,4,28,3,1,5,5.5,1,0.0,8,2,1,9,6,0,0,0,0,0,33,0,5,6.5,1,-0.2,3,7,1,9,7,0,0,0,0,0,29,0,5,6.5,0,6.9,8,10,9,1,1,0,0,0,0,0,81,1,5,7.0,0,4.9,1,5,1,5,2,0,0,0,0,0,86,0,5,6.5,1,5.8,6,1,8,2,3,0,0,0,0,0
7,5,16,0,1,4,5.0,0,-0.2,2,1,9,6,0,0,0,0,0,0,33,0,4,5.5,1,-0.2,7,1,9,7,0,0,0,0,0,0,29,0,4,5.5,1,-0.2,10,9,1,1,0,0,0,0,0,0,81,1,4,6.0,1,0.8,5,1,5,2,0,0,0,0,0,0,80,0,4,6.0,0,5.9,1,8,2,3,0,0,0,0,0,0
7,6,0,0,1,3,4.5,0,-0.2,1,9,6,0,0,0,0,0,0,0,33,0,3,4.5,1,-0.2,1,9,7,0,0,0,0,0,0,0,29,0,3,4.5,1,-0.2,9,1,1,0,0,0,0,0,0,0,76,1,3,5.5,0,4.9,1,5,2,0,0,0,0,0,0,0,79,0,3,5.5,0,0.9,8,2,3,0,0,0,0,0,0,0
7,7,0,0,1,2,4.0,0,-0.2,9,6,0,0,0,0,0,0,0,0,33,1,2,3.5,1,-0.2,9,7,0,0,0,0,0,0,0,0,29,0,2,3.5,1,-0.2,1,1,0,0,0,0,0,0,0,0,75,1,2,5.0,0,0.9,5,2,0,0,0,0,0,0,0,0,71,0,2,5.0,0,7.9,2,3,0,0,0,0,0,0,0,0
7,8,0,0,1,1,3.5,0,-0.2,6,0,0,0,0,0,0,0,0,0,33,1,1,2.5,1,0.0,7,0,0,0,0,0,0,0,0,0,28,0,1,3.0,0,0.9,1,0,0,0,0,0,0,0,0,0,75,1,1,4.0,1,0.0,2,0,0,0,0,0,0,0,0,0,69,0,1,4.5,0,1.9,3,0,0,0,0,0,0,0,0,0
7,9,0,0,1,0,2.5,1,0.0,0,0,0,0,0,0,0,0,0,0,26,1,0,2.0,0,6.9,0,0,0,0,0,0,0,0,0,0,27,0,0,2.5,0,0.9,0,0,0,0,0,0,0,0,0,0,75,0,0,3.0,1,0.0,0,0,0,0,0,0,0,0,0,0,66,0,0,4.0,0,2.9,0,0,0,0,0,0,0,0,0,0
8,0,81,10,1,9,9.0,1,3.8,7,7,7,9,10,7,9,6,5,0,41,0,9,9.5,0,8.9,7,4,6,5,2,1,9,4,9,0,50,0,9,9.0,1,-0.2,9,6,6,3,7,4,5,3,8,0,100,1,9,9.0,1,-0.2,3,1,3,5,9,2,1,5,2,0,100,0,9,9.0,1,7.8,3,1,3,10,10,4,6,10,9,0
8,1,62,10,1,8,8.0,1,6.8,7,7,9,10,7,9,6,5,0,0,34,0,8,9.0,0,6.9,4,6,5,2,1,9,4,9,0,0,50,0,8,8.0,1,-0.2,6,6,3,7,4,5,3,8,0,0,97,1,8,8.5,0,2.9,1,3,5,9,2,1,5,2,0,0,100,0,8,8.0,1,-0.2,1,3,10,10,4,6,10,9,0,0
8,2,57,3,1,7,7.5,0,6.9,7,9,10,7,9,6,5,0,0,0,34,0,7,8.0,1,-0.2,6,5,2,1,9,4,9,0,0,0,44,1,7,7.5,0,5.9,6,3,7,4,5,3,8,0,0,0,97,1,7,7.5,1,0.8,3,5,9,2,1,5,2,0,0,0,99,0,7,7.5,0,0.9,3,10,10,4,6,10,9,0,0,0
8,3,50,3,1,6,6.5,1,0.0,9,10,7,9,6,5,0,0,0,0,28,0,6,7.5,0,5.9,5,2,1,9,4,9,0,0,0,0,38,1,6,7.0,0,5.9,3,7,4,5,3,8,0,0,0,0,94,1,6,7.0,0,2.9,5,9,2,1,5,2,0,0,0,0,96,1,6,7.0,0,2.9,10,10,4,6,10,9,0,0,0,0
8,4,31,3,1,5,5.5,1,0.0,10,7,9,6,5,0,0,0,0,0,28,0,5,6.5,1,-0.2,2,1,9,4,9,0,0,0,0,0,35,1,5,6.5,0,2.9,7,4,5,3,8,0,0,0,0,0,94,1,5,6.0,1,4.8,9,2,1,5,2,0,0,0,0,0,86,1,5,6.5,0,9.9,10,4,6,10,9,0,0,0,0,0
8,5,12,0,1,4,5.0,0,-0.2,7,9,6,5,0,0,0,0,0,0,28,0,4,5.5,1,-0.2,1,9,4,9,0,0,0,0,0,0,35,1,4,5.5,1,6.8,4,5,3,8,0,0,0,0,0,0,85,0,4,5.5,0,8.9,2,1,5,2,0,0,0,0,0,0,86,1,4,5.5,1,9.8,4,6,10,9,0,0,0,0,0,0
8,6,4,0,1,3,4.5,0,-0.2,9,6,5,0,0,0,0,0,0,0,27,0,3,5.0,0,0.9,9,4,9,0,0,0,0,0,0,0,35,1,3,4.5,1,3.8,5,3,8,0,0,0,0,0,0,0,83,0,3,5.0,0,1.9,1,5,2,0,0,0,0,0,0,0,86,1,3,4.5,1,3.8,6,10,9,0,0,0,0,0,0,0
8,7,0,0,0,2,4.0,0,-0.2,6,5,0,0,0,0,0,0,0,0,18,0,2,4.5,0,8.9,4,9,0,0,0,0,0,0,0,0,30,1,2,4.0,0,4.9,3,8,0,0,0,0,0,0,0,0,82,0,2,4.5,0,0.9,5,2,0,0,0,0,0,0,0,0,86,1,2,3.5,1,0.0,10,9,0,0,0,0,0,0,0,0
8,8,0,0,0,1,3.5,0,-0.2,5,0,0,0,0,0,0,0,0,0,14,1,1,4.0,0,3.9,9,0,0,0,0,0,0,0,0,0,27,0,1,3.5,0,2.9,8,0,0,0,0,0,0,0,0,0,82,0,1,3.5,1,-0.2,2,0,0,0,0,0,0,0,0,0,86,0,1,2.5,1,0.0,9,0,0,0,0,0,0,0,0,0
8,9,0,0,0,0,2.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,5,1,0,3.5,0,8.9,0,0,0,0,0,0,0,0,0,0,27,0,0,2.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,80,0,0,3.0,0,1.9,0,0,0,0,0,0,0,0,0,0,77,0,0,2.0,0,8.9,0,0,0,0,0,0,0,0,0,0
9,0,74,10,0,9,9.0,1,-0.2,4,1,9,7,5,2,1,8,5,0,50,0,9,9.0,1,-0.2,6,5,2,3,3,4,8,9,4,0,50,1,9,9.0,1,-0.2,3,4,4,5,10,6,4,6,9,0,93,1,9,9.5,0,6.9,8,4,5,4,3,9,9,5,8,0,99,1,9,9.5,0,0.9,2,8,5,5,5,8,8,10,3,0
9,1,62,10,0,8,8.0,1,-0.2,1,9,7,5,2,1,8,5,0,0,44,0,8,8.5,0,5.9,5,2,3,3,4,8,9,4,0,0,47,1,8,8.5,0,2.9,4,4,5,10,6,4,6,9,0,0,93,1,8,8.5,1,7.8,4,5,4,3,9,9,5,8,0,0,97,0,8,9.0,0,1.9,8,5,5,5,8,8,10,3,0,0
9,2,50,9,0,7,7.5,0,0.9,9,7,5,2,1,8,5,0,0,0,39,0,7,8.0,0,4.9,2,3,3,4,8,9,4,0,0,0,47,1,7,7.5,1,3.8,4,5,10,6,4,6,9,0,0,0,89,0,7,8.0,0,3.9,5,4,3,9,9,5,8,0,0,0,97,0,7,8.0,1,-0.2,5,5,5,8,8,10,3,0,0,0
9,3,30,9,0,6,6.5,1,-0.2,7,5,2,1,8,5,0,0,0,0,39,0,6,7.0,1,-0.2,3,3,4,8,9,4,0,0,0,0,47,1,6,6.5,1,3.8,5,10,6,4,6,9,0,0,0,0,84,0,6,7.5,0,4.9,4,3,9,9,5,8,0,0,0,0,97,0,6,7.0,1,-0.2,5,5,8,8,10,3,0,0,0,0
9,4,18,2,0,5,6.0,0,6.9,5,2,1,8,5,0,0,0,0,0,39,0,5,6.0,1,-0.2,3,4,8,9,4,0,0,0,0,0,47,1,5,5.5,1,4.8,10,6,4,6,9,0,0,0,0,0,84,0,5,6.5,1,-0.2,3,9,9,5,8,0,0,0,0,0,92,0,5,6.5,0,4.9,5,8,8,10,3,0,0,0,0,0
9,5,0,2,0,4,5.0,1,-0.2,2,1,8,5,0,0,0,0,0,0,39,0,4,5.0,1,-0.2,4,8,9,4,0,0,0,0,0,0,47,1,4,4.5,1,9.8,6,4,6,9,0,0,0,0,0,0,81,0,4,6.0,0,2.9,9,9,5,8,0,0,0,0,0,0,87,0,4,6.0,0,4.9,8,8,10,3,0,0,0,0,0,0
9,6,0,0,0,3,4.5,0,1.9,1,8,5,0,0,0,0,0,0,0,35,1,3,4.5,0,3.9,8,9,4,0,0,0,0,0,0,0,41,1,3,4.0,0,5.9,4,6,9,0,0,0,0,0,0,0,81,0,3,5.0,1,-0.2,9,5,8,0,0,0,0,0,0,0,79,0,3,5.5,0,7.9,8,10,3,0,0,0,0,0,0,0
9,7,0,0,0,2,3.5,1,-0.2,8,5,0,0,0,0,0,0,0,0,35,1,2,3.5,1,0.0,9,4,0,0,0,0,0,0,0,0,41,1,2,3.0,1,0.0,6,9,0,0,0,0,0,0,0,0,72,0,2,4.5,0,8.9,5,8,0,0,0,0,0,0,0,0,79,0,2,4.5,1,-0.2,10,3,0,0,0,0,0,0,0,0
9,8,0,0,0,1,2.5,1,-0.2,5,0,0,0,0,0,0,0,0,0,26,1,1,3.0,0,8.9,4,0,0,0,0,0,0,0,0,0,35,1,1,2.5,0,5.9,9,0,0,0,0,0,0,0,0,0,67,0,1,4.0,0,4.9,8,0,0,0,0,0,0,0,0,0,69,0,1,4.0,0,9.9,3,0,0,0,0,0,0,0,0,0
9,9,0,0,0,0,1.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,26,1,0,2.0,1,0.0,0,0,0,0,0,0,0,0,0,0,35,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,67,0,0,3.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,66,0,0,3.5,0,2.9,0,0,0,0,0,0,0,0,0,0
10,0,89,10,1,9,9.0,1,2.8,8,6,2,3,5,10,1,4,4,0,50,1,9,9.0,1,1.8,8,2,9,6,3,2,2,10,4,0,43,1,9,9.5,0,6.9,9,6,1,4,3,1,4,9,10,0,93,0,9,9.5,0,6.9,4,5,6,10,2,6,7,5,5,0,100,1,9,9.0,1,5.8,10,6,5,2,10,9,3,7,1,0
10,1,72,2,1,8,8.5,0,7.9,6,2,3,5,10,1,4,4,0,0,50,1,8,8.0,1,7.8,2,9,6,3,2,2,10,4,0,0,43,1,8,8.5,1,8.8,6,1,4,3,1,4,9,10,0,0,89,1,8,9.0,0,3.9,5,6,10,2,6,7,5,5,0,0,90,1,8,8.5,0,9.9,6,5,2,10,9,3,7,1,0,0
10,2,49,2,1,7,7.5,1,0.0,2,3,5,10,1,4,4,0,0,0,48,1,7,7.5,0,1.9,9,6,3,2,2,10,4,0,0,0,43,1,7,7.5,1,5.8,1,4,3,1,4,9,10,0,0,0,89,1,7,8.0,1,4.8,6,10,2,6,7,5,5,0,0,0,90,1,7,7.5,1,5.8,5,2,10,9,3,7,1,0,0,0
10,3,27,2,1,6,6.5,1,1.8,3,5,10,1,4,4,0,0,0,0,48,1,6,6.5,1,8.8,6,3,2,2,10,4,0,0,0,0,42,1,6,7.0,0,0.9,4,3,1,4,9,10,0,0,0,0,89,1,6,7.0,1,5.8,10,2,6,7,5,5,0,0,0,0,90,1,6,6.5,1,4.8,2,10,9,3,7,1,0,0,0,0
10,4,18,2,1,5,5.5,1,0.0,5,10,1,4,4,0,0,0,0,0,42,1,5,6.0,0,5.9,3,2,2,10,4,0,0,0,0,0,42,1,5,6.0,1,3.8,3,1,4,9,10,0,0,0,0,0,79,1,5,6.5,0,9.9,2,6,7,5,5,0,0,0,0,0,90,1,5,5.5,1,1.8,10,9,3,7,1,0,0,0,0,0
10,5,8,0,1,4,5.0,0,-0.2,10,1,4,4,0,0,0,0,0,0,39,1,4,5.5,0,2.9,2,2,10,4,0,0,0,0,0,0,39,1,4,5.5,0,2.9,1,4,9,10,0,0,0,0,0,0,77,1,4,6.0,0,1.9,6,7,5,5,0,0,0,0,0,0,90,1,4,4.5,1,9.8,9,3,7,1,0,0,0,0,0,0
10,6,0,0,1,3,4.0,1,0.0,1,4,4,0,0,0,0,0,0,0,39,1,3,4.5,1,0.0,2,10,4,0,0,0,0,0,0,0,38,1,3,5.0,0,0.9,4,9,10,0,0,0,0,0,0,0,77,1,3,5.0,1,0.0,7,5,5,0,0,0,0,0,0,0,81,1,3,4.0,0,8.9,3,7,1,0,0,0,0,0,0,0
10,7,0,0,1,2,3.0,1,0.0,4,4,0,0,0,0,0,0,0,0,39,1,2,3.5,1,0.0,10,4,0,0,0,0,0,0,0,0,34,1,2,4.5,0,3.9,9,10,0,0,0,0,0,0,0,0,77,1,2,4.0,1,0.0,5,5,0,0,0,0,0,0,0,0,81,1,2,3.0,1,0.0,7,1,0,0,0,0,0,0,0,0
10,8,0,0,1,1,2.0,1,0.0,4,0,0,0,0,0,0,0,0,0,39,1,1,2.5,1,0.0,4,0,0,0,0,0,0,0,0,0,25,1,1,4.0,0,8.9,10,0,0,0,0,0,0,0,0,0,72,1,1,3.5,0,4.9,5,0,0,0,0,0,0,0,0,0,74,1,1,2.5,0,6.9,1,0,0,0,0,0,0,0,0,0
10,9,0,0,1,0,1.5,0,-0.2,0,0,0,0,0,0,0,0,0,0,39,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,15,1,0,3.5,0,9.9,0,0,0,0,0,0,0,0,0,0,67,1,0,3.0,0,4.9,0,0,0,0,0,0,0,0,0,0,73,1,0,2.0,0,0.9,0,0,0,0,0,0,0,0,0,0
11,0,89,1,1,9,9.5,0,8.9,1,6,5,3,7,2,10,6,2,0,41,0,9,9.5,0,8.9,3,9,4,6,1,8,10,8,5,0,42,0,9,9.5,0,7.9,3,6,5,7,8,7,10,7,8,0,100,1,9,9.0,1,1.8,6,5,3,6,3,9,4,2,7,0,100,1,9,9.0,1,8.8,4,5,6,6,5,7,4,6,2,0
11,1,76,0,0,8,9.0,0,0.9,6,5,3,7,2,10,6,2,0,0,41,0,8,8.5,1,-0.2,9,4,6,1,8,10,8,5,0,0,39,0,8,9.0,0,2.9,6,5,7,8,7,10,7,8,0,0,100,1,8,8.0,1,5.8,5,3,6,3,9,4,2,7,0,0,100,1,8,8.0,1,3.8,5,6,6,5,7,4,6,2,0,0
11,2,62,0,0,7,8.5,0,-0.2,5,3,7,2,10,6,2,0,0,0,41,1,7,7.5,1,-0.2,4,6,1,8,10,8,5,0,0,0,33,0,7,8.5,0,5.9,5,7,8,7,10,7,8,0,0,0,95,1,7,7.5,0,4.9,3,6,3,9,4,2,7,0,0,0,100,1,7,7.0,1,4.8,6,6,5,7,4,6,2,0,0,0
11,3,43,0,0,6,7.5,1,-0.2,3,7,2,10,6,2,0,0,0,0,37,1,6,7.0,0,3.9,6,1,8,10,8,5,0,0,0,0,33,0,6,7.5,1,-0.2,7,8,7,10,7,8,0,0,0,0,95,1,6,6.5,1,2.8,6,3,9,4,2,7,0,0,0,0,100,1,6,6.0,1,5.8,6,5,7,4,6,2,0,0,0,0
11,4,21,0,0,5,6.5,1,-0.2,7,2,10,6,2,0,0,0,0,0,37,1,5,6.0,1,5.8,1,8,10,8,5,0,0,0,0,0,33,0,5,6.5,1,-0.2,8,7,10,7,8,0,0,0,0,0,95,1,5,5.5,1,5.8,3,9,4,2,7,0,0,0,0,0,94,1,5,5.5,0,5.9,5,7,4,6,2,0,0,0,0,0
11,5,1,0,0,4,5.5,1,-0.2,2,10,6,2,0,0,0,0,0,0,36,1,4,5.5,0,0.9,8,10,8,5,0,0,0,0,0,0,33,1,4,5.5,1,-0.2,7,10,7,8,0,0,0,0,0,0,92,1,4,5.0,0,2.9,9,4,2,7,0,0,0,0,0,0,94,1,4,4.5,1,4.8,7,4,6,2,0,0,0,0,0,0
11,6,0,0,0,3,4.5,1,-0.2,10,6,2,0,0,0,0,0,0,0,36,1,3,4.5,1,0.0,10,8,5,0,0,0,0,0,0,0,33,1,3,4.5,1,0.0,10,7,8,0,0,0,0,0,0,0,92,1,3,4.0,1,0.0,4,2,7,0,0,0,0,0,0,0,94,1,3,3.5,1,0.0,4,6,2,0,0,0,0,0,0,0
11,7,0,0,0,2,3.5,1,-0.2,6,2,0,0,0,0,0,0,0,0,26,1,2,4.0,0,9.9,8,5,0,0,0,0,0,0,0,0,23,1,2,4.0,0,9.9,7,8,0,0,0,0,0,0,0,0,92,1,2,3.0,1,0.0,2,7,0,0,0,0,0,0,0,0,90,1,2,3.0,0,3.9,6,2,0,0,0,0,0,0,0,0
11,8,0,0,0,1,2.5,1,-0.2,2,0,0,0,0,0,0,0,0,0,26,1,1,3.0,1,0.0,5,0,0,0,0,0,0,0,0,0,16,1,1,3.5,0,6.9,8,0,0,0,0,0,0,0,0,0,92,1,1,2.0,1,0.0,7,0,0,0,0,0,0,0,0,0,90,1,1,2.0,1,0.0,2,0,0,0,0,0,0,0,0,0
11,9,0,0,0,0,2.0,0,-0.2,0,0,0,0,0,0,0,0,0,0,21,1,0,2.5,0,4.9,0,0,0,0,0,0,0,0,0,0,16,1,0,2.5,1,0.0,0,0,0,0,0,0,0,0,0,0,85,1,0,1.5,0,6.9,0,0,0,0,0,0,0,0,0,0,90,1,0,1.0,1,0.0,0,0,0,0,0,0,0,0,0,0
12,0,89,4,1,9,9.5,0,5.9,3,10,3,9,5,7,3,10,7,0,43,0,9,9.5,0,6.9,7,1,1,4,4,2,4,7,4,0,42,0,9,9.5,0,7.9,4,3,2,10,5,5,8,10,4,0,100,1,9,9.0,1,5.8,7,4,2,10,4,10,9,1,2,0,100,0,9,9.0,1,-0.2,9,2,9,2,8,6,5,3,7,0
12,1,68,4,1,8,8.5,1,2.8,10,3,9,5,7,3,10,7,0,0,43,0,8,8.5,1,-0.2,1,1,4,4,2,4,7,4,0,0,42,0,8,8.5,1,-0.2,3,2,10,5,5,8,10,4,0,0,100,1,8,8.0,1,6.8,4,2,10,4,10,9,1,2,0,0,91,0,8,8.5,0,8.9,2,9,2,8,6,5,3,7,0,0
12,2,54,4,1,7,7.5,1,0.0,3,9,5,7,3,10,7,0,0,0,43,0,7,7.5,1,-0.2,1,4,4,2,4,7,4,0,0,0,42,0,7,7.5,1,-0.2,2,10,5,5,8,10,4,0,0,0,96,1,7,7.5,0,3.9,2,10,4,10,9,1,2,0,0,0,89,0,7,8.0,0,1.9,9,2,8,6,5,3,7,0,0,0
12,3,39,4,1,6,6.5,1,2.8,9,5,7,3,10,7,0,0,0,0,43,0,6,6.5,1,-0.2,4,4,2,4,7,4,0,0,0,0,42,0,6,6.5,1,-0.2,10,5,5,8,10,4,0,0,0,0,94,1,6,7.0,0,1.9,10,4,10,9,1,2,0,0,0,0,89,1,6,7.0,1,-0.2,2,8,6,5,3,7,0,0,0,0
12,4,14,4,1,5,5.5,1,0.0,5,7,3,10,7,0,0,0,0,0,43,0,5,5.5,1,-0.2,4,2,4,7,4,0,0,0,0,0,32,0,5,6.0,0,9.9,5,5,8,10,4,0,0,0,0,0,94,0,5,6.0,1,9.8,4,10,9,1,2,0,0,0,0,0,89,1,5,6.0,1,1.8,8,6,5,3,7,0,0,0,0,0
12,5,0,4,1,4,4.5,1,0.0,7,3,10,7,0,0,0,0,0,0,39,0,4,5.0,0,3.9,2,4,7,4,0,0,0,0,0,0,27,0,4,5.5,0,4.9,5,8,10,4,0,0,0,0,0,0,94,0,4,5.0,1,-0.2,10,9,1,2,0,0,0,0,0,0,89,1,4,5.0,1,0.0,6,5,3,7,0,0,0,0,0,0
12,6,0,4,1,3,3.5,1,0.0,3,10,7,0,0,0,0,0,0,0,39,0,3,4.0,1,-0.2,4,7,4,0,0,0,0,0,0,0,22,1,3,5.0,0,4.9,8,10,4,0,0,0,0,0,0,0,84,0,3,4.5,0,9.9,9,1,2,0,0,0,0,0,0,0,89,1,3,4.0,1,0.0,5,3,7,0,0,0,0,0,0,0
12,7,0,1,1,2,3.0,0,2.9,10,7,0,0,0,0,0,0,0,0,39,0,2,3.0,1,-0.2,7,4,0,0,0,0,0,0,0,0,14,1,2,4.5,0,7.9,10,4,0,0,0,0,0,0,0,0,84,0,2,3.5,1,-0.2,1,2,0,0,0,0,0,0,0,0,84,1,2,3.5,0,4.9,3,7,0,0,0,0,0,0,0,0
12,8,0,0,1,1,2.5,0,-0.2,7,0,0,0,0,0,0,0,0,0,39,0,1,2.0,1,-0.2,4,0,0,0,0,0,0,0,0,0,14,1,1,3.5,1,0.0,4,0,0,0,0,0,0,0,0,0,83,0,1,3.0,0,0.9,2,0,0,0,0,0,0,0,0,0,84,1,1,2.5,1,0.0,7,0,0,0,0,0,0,0,0,0
12,9,0,0,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,39,0,0,1.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,10,0,0,3.0,0,3.9,0,0,0,0,0,0,0,0,0,0,83,0,0,2.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,84,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0
13,0,91,10,1,9,9.0,1,0.8,10,1,4,8,5,5,9,10,8,0,50,1,9,9.0,1,0.8,4,10,1,1,3,1,7,4,8,0,44,0,9,9.5,0,5.9,6,1,3,6,2,1,7,4,4,0,100,0,9,9.0,1,-0.2,10,3,3,7,5,3,9,9,3,0,100,1,9,9.0,1,5.8,5,4,7,2,2,2,3,2,3,0
13,1,82,0,1,8,8.5,0,9.9,1,4,8,5,5,9,10,8,0,0,50,1,8,8.0,1,3.8,10,1,1,3,1,7,4,8,0,0,38,0,8,9.0,0,5.9,1,3,6,2,1,7,4,4,0,0,90,0,8,8.5,0,9.9,3,3,7,5,3,9,9,3,0,0,100,1,8,8.0,1,4.8,4,7,2,2,2,3,2,3,0,0
